Nationalitätszeichen,Unterscheidungszeichen,StadtOderKreis,Herleitung,HerleitungMarkiert,Bundesland.Iso3166-2,Bundesland.Name,Fußnoten,Bemerkung
D,A,Augsburg,Augsburg,Augsburg,DE-BY,Bayern,1,
D,AA,Ostalbkreis,Aalen,AAlen,DE-BW,Baden-Württemberg,,
D,AB,Aschaffenburg,Aschaffenburg,AschaffenBurg,DE-BY,Bayern,1,
D,ABG,Altenburger Land,Altenburg,AltenBurG,DE-TH,Thüringen,,
D,ABI,Anhalt-Bitterfeld,Anhalt-Bitterfeld,Anhalt-BItterfeld,DE-ST,Sachsen-Anhalt,,
D,AC,Aachen,Aachen,AaChen,DE-NW,Nordrhein-Westfalen,,
D,AE,Vogtlandkreis,Auerbach,AuErbach,DE-SN,Sachsen,,
D,AH,Borken,Ahaus,AHaus,DE-NW,Nordrhein-Westfalen,,
D,AIB,"München, Rosenheim",Aibling,AIBling,DE-BY,Bayern,3,
D,AIC,Aichach-Friedberg,Aichach,AIChach,DE-BY,Bayern,,
D,AK,Altenkirchen (Westerwald),Altenkirchen,AltenKirchen,DE-RP,Rheinland-Pfalz,,
D,ALF,Hildesheim,Alfeld,ALFeld,DE-NI,Niedersachsen,,
D,ALZ,Aschaffenburg,Alzenau,ALZenau,DE-BY,Bayern,,
D,AM,Stadt Amberg,Amberg,AMberg,DE-BY,Bayern,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Amberg-Sulzbach"
D,AN,Ansbach,Ansbach,ANsbach,DE-BY,Bayern,1,
D,ANA,Erzgebirgskreis,Annaberg,ANnAberg,DE-SN,Sachsen,,
D,ANG,Uckermark,Angermünde,ANGermünde,DE-BB,Brandenburg,,
D,ANK,Vorpommern-Greifswald,Anklam,ANKlam,DE-MV,Mecklenburg-Vorpommern,,
D,AP,Weimarer Land,Apolda,APolda,DE-TH,Thüringen,,
D,APD,Weimarer Land,Apolda,APolDa,DE-TH,Thüringen,,
D,ARN,Ilm-Kreis,Arnstadt,ARNstadt,DE-TH,Thüringen,,
D,ART,Kyffhäuserkreis,Artern,ARTern,DE-TH,Thüringen,,
D,AS,Amberg-Sulzbach,"Amberg, Sulzbach","Amberg, Sulzbach",DE-BY,Bayern,,
D,ASL,Salzlandkreis,Aschersleben,ASchersLeben,DE-ST,Sachsen-Anhalt,,
D,ASZ,Erzgebirgskreis,"Aue, Schwarzenberg","Aue, SchwarZenberg",DE-SN,Sachsen,,
D,AT,Mecklenburgische Seenplatte,Altentreptow,AltenTreptow,DE-MV,Mecklenburg-Vorpommern,,
D,AU,Erzgebirgskreis,Aue,AUe,DE-SN,Sachsen,,
D,AUR,Aurich,Aurich,AURich,DE-NI,Niedersachsen,,
D,AW,Ahrweiler,Ahrweiler,AhrWeiler,DE-RP,Rheinland-Pfalz,,
D,AZ,Alzey-Worms,Alzey,AlZey,DE-RP,Rheinland-Pfalz,,
D,AZE,Anhalt-Bitterfeld,Landkreis Anhalt-Zerbst (bis 2007),Landkreis Anhalt-ZErbst (bis 2007),DE-ST,Sachsen-Anhalt,,
D,AÖ,Altötting,Altötting,AltÖtting,DE-BY,Bayern,,
D,B,Berlin,Berlin,Berlin,DE-BE,Berlin,,
D,BA,Bamberg,Bamberg,BAmberg,DE-BY,Bayern,1,
D,BAD,Stadt Baden-Baden,Baden-Baden,BADen-Baden,DE-BW,Baden-Württemberg,,
D,BAR,Barnim,Barnim,BARnim,DE-BB,Brandenburg,,
D,BB,Böblingen,Böblingen,BöBlingen,DE-BW,Baden-Württemberg,,
D,BBG,Salzlandkreis,Bernburg,BernBurG,DE-ST,Sachsen-Anhalt,,
D,BC,Biberach,Biberach,BiberaCh,DE-BW,Baden-Württemberg,,
D,BCH,Neckar-Odenwald-Kreis,Buchen,BuCHen,DE-BW,Baden-Württemberg,,
D,BE,Warendorf,Beckum,BEckum,DE-NW,Nordrhein-Westfalen,,
D,BED,Mittelsachsen,Brand-Erbisdorf,Brand-ErbisDorf,DE-SN,Sachsen,,
D,BER,Barnim,Bernau,BERnau,DE-BB,Brandenburg,,
D,BF,Steinfurt,Burgsteinfurt,BurgsteinFurt,DE-NW,Nordrhein-Westfalen,,
D,BGD,Berchtesgadener Land,Berchtesgaden,BerchtesGaDen,DE-BY,Bayern,,
D,BGL,Berchtesgadener Land,Berchtesgadener Land,BerchtesGadener Land,DE-BY,Bayern,,
D,BH,"Ortenaukreis, Raststatt",Bühl,BüHl,DE-BW,Baden-Württemberg,,
D,BI,Stadt Bielefeld,Bielefeld,BIelefeld,DE-NW,Nordrhein-Westfalen,,
D,BID,Marburg-Biedenkopf,Biedenkopf,BIeDenkopf,DE-HE,Hessen,,
D,BIN,Mainz-Bingen,Bingen,BINgen,DE-RP,Rheinland-Pfalz,,
D,BIR,Birkenfeld,Birkenfeld,BIRkenfeld,DE-RP,Rheinland-Pfalz,,
D,BIT,Eifelkreis Bitburg-Prüm,Bitburg,BITburg,DE-RP,Rheinland-Pfalz,,
D,BIW,Bautzen,Bischofswerda,BIschofsWerda,DE-SN,Sachsen,,
D,BK,"Börde, Rems-Murr-Kreis, Schwäbisch Hall",Backnang,BacKnang,DE-BW,Baden-Württemberg,"4,5,5",
D,BKS,Bernkastel-Wittlich,Bernkastel,BernKaStel,DE-RP,Rheinland-Pfalz,,
D,BL,Zollernalbkreis,Balingen,BaLingen,DE-BW,Baden-Württemberg,,
D,BLB,Siegen-Wittgenstein,Berleburg,BerLeBurg,DE-NW,Nordrhein-Westfalen,,
D,BLK,Burgenlandkreis,Burgenlandkreis,BurgenLandKreis,DE-ST,Sachsen-Anhalt,,
D,BM,Rhein-Erft-Kreis,Bergheim,BergheiM,DE-NW,Nordrhein-Westfalen,,
D,BN,Stadt Bonn,Bonn,BonN,DE-NW,Nordrhein-Westfalen,,
D,BNA,Leipzig,Borna,BorNA,DE-SN,Sachsen,,
D,BO,Stadt Bochum,Bochum,BOchum,DE-NW,Nordrhein-Westfalen,,
D,BOG,Straubing-Bogen,Bogen,BOGen,DE-BY,Bayern,,
D,BOH,Borken,Bocholt,BOcHolt,DE-NW,Nordrhein-Westfalen,,
D,BOR,Borken,Borken,BORken,DE-NW,Nordrhein-Westfalen,,
D,BOT,Stadt Bottrop,Bottrop,BOTtrop,DE-NW,Nordrhein-Westfalen,,
D,BR,Landkreis Karlsruhe,Bruchsal,BRuchsal,DE-BW,Baden-Württemberg,,
D,BRA,Wesermarsch,Brake,BRAke,DE-NI,Niedersachsen,,
D,BRB,Stadt Brandenburg,Brandenburg,BRandenBurg,DE-BB,Brandenburg,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Kreis Potsdam-Mittelmark"
D,BRG,Jerichower Land,Burg,BuRG,DE-ST,Sachsen-Anhalt,,
D,BRK,Bad Kissingen,Brückenau,BRücKenau,DE-BY,Bayern,,
D,BRL,Goslar,Braunlage,BRaunLage,DE-NI,Niedersachsen,,
D,BRV,Rotenburg (Wümme),Bremervörde,BRemerVörde,DE-NI,Niedersachsen,,
D,BS,Stadt Braunschweig,Braunschweig,BraunSchweig,DE-NI,Niedersachsen,,
D,BSB,Osnabrück,Bersenbrück,BerSenBrück,DE-NI,Niedersachsen,,
D,BSK,Oder-Spree,Beeskow,BeeSKow,DE-BB,Brandenburg,,
D,BT,Bayreuth,Bayreuth,BayreuTh,DE-BY,Bayern,1,
D,BTF,Anhalt-Bitterfeld,Bitterfeld,BitTerFeld,DE-ST,Sachsen-Anhalt,,
D,BUL,"Amberg-Sulzbach, Schwandorf",Burglengenfeld,BUrgLengenfeld,DE-BY,Bayern,"3,3",
D,BZ,Bautzen,Bautzen,BautZen,DE-SN,Sachsen,,
D,BÖ,Börde,Börde,BÖrde,DE-ST,Sachsen-Anhalt,,
D,BÜD,Wetteraukreis,Büdingen,BÜDingen,DE-HE,Hessen,,
D,BÜR,Paderborn,Büren,BÜRen,DE-NW,Nordrhein-Westfalen,,
D,BÜS,"Konstanz, Gemeinde Büsingen am Hochrhein",Büsingen,BÜSingen,DE-BW,Baden-Württemberg,,
D,BÜZ,Landkreis Rostock,Bützow,BÜtZow,DE-MV,Mecklenburg-Vorpommern,,
D,C,Stadt Chemnitz,Chemnitz,Chemnitz,DE-SN,Sachsen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Zwickau"
D,CA,Oberspreewald-Lausitz,Calau,CAlau,DE-BB,Brandenburg,,
D,CAS,Recklinghausen,Castrop,CAStrop,DE-NW,Nordrhein-Westfalen,,
D,CB,Stadt Cottbus,Cottbus,CottBus,DE-BB,Brandenburg,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Spree-Neiße"
D,CE,Celle,Celle,CElle,DE-NI,Niedersachsen,,
D,CHA,Cham,Cham,CHAm,DE-BY,Bayern,,
D,CLP,Cloppenburg,Cloppenburg,CLopPenburg,DE-NI,Niedersachsen,,
D,CLZ,Goslar,Clausthal-Zellerfeld,CLausthal-Zellerfeld,DE-NI,Niedersachsen,,
D,CO,"Zulassungsstelle Coburg, Zweckverband",Coburg,COburg,DE-BY,Bayern,,
D,COC,Cochem-Zell,Cochem,COChem,DE-RP,Rheinland-Pfalz,,
D,COE,Coesfeld,Coesfeld,COEsfeld,DE-NW,Nordrhein-Westfalen,,
D,CR,Schwäbisch Hall,Crailsheim,CRailsheim,DE-BW,Baden-Württemberg,,
D,CUX,Cuxhaven,Cuxhaven,CUXhaven,DE-NI,Niedersachsen,,
D,CW,Calw,Calw,CalW,DE-BW,Baden-Württemberg,,
D,D,Stadt Düsseldorf,Düsseldorf,Düsseldorf,DE-NW,Nordrhein-Westfalen,,
D,DA,Darmstadt,Darmstadt,DArmstadt,DE-HE,Hessen,2,
D,DAH,Dachau,Dachau,DAcHau,DE-BY,Bayern,,
D,DAN,Lüchow-Dannenberg,Dannenberg,DANnenberg,DE-NI,Niedersachsen,,
D,DAU,Vulkaneifel,Daun,DAUn,DE-RP,Rheinland-Pfalz,,
D,DBR,Landkreis Rostock,Doberan,DoBeRan,DE-MV,Mecklenburg-Vorpommern,,
D,DD,Stadt Dresden,Dresden,DresDen,DE-SN,Sachsen,6,
D,DE,Stadt Dessau-Roßlau,Dessau,DEssau,DE-ST,Sachsen-Anhalt,,
D,DEG,Deggendorf,Deggendorf,DEGgendorf,DE-BY,Bayern,,
D,DEL,Stadt Delmenhorst,Delmenhorst,DELmenhorst,DE-NI,Niedersachsen,,
D,DGF,Dingolfing-Landau,Dingolfing,DinGolFing,DE-BY,Bayern,,
D,DH,Diepholz,Diepholz,DiepHolz,DE-NI,Niedersachsen,,
D,DI,Darmstadt-Dieburg,Dieburg,DIeburg,DE-HE,Hessen,,
D,DIL,Lahn-Dill-Kreis,Dillenburg,DILlenburg,DE-HE,Hessen,,
D,DIN,Wesel,Dinslaken,DINslaken,DE-NW,Nordrhein-Westfalen,,
D,DIZ,Rhein-Lahn-Kreis,Diez,DIeZ,DE-RP,Rheinland-Pfalz,,
D,DKB,Ansbach,Dinkelsbühl,DinKelsBühl,DE-BY,Bayern,,
D,DL,Mittelsachsen,Döbeln,DöbeLn,DE-SN,Sachsen,,
D,DLG,Dillingen an der Donau,Dillingen,DilLinGen,DE-BY,Bayern,,
D,DM,Mecklenburgische Seenplatte,Demmin,DemMin,DE-MV,Mecklenburg-Vorpommern,,
D,DN,Düren,Düren,DüreN,DE-NW,Nordrhein-Westfalen,,
D,DO,Stadt Dortmund,Dortmund,DOrtmund,DE-NW,Nordrhein-Westfalen,,
D,DON,Donau-Ries in Donauwörth,Donauwörth,DONauwörth,DE-BY,Bayern,,
D,DS,Schwarzwald-Baar-Kreis,Donaueschingen,DonaueSchingen,DE-BW,Baden-Württemberg,,
D,DU,Stadt Duisburg,Duisburg,DUisburg,DE-NW,Nordrhein-Westfalen,,
D,DUD,Göttingen,Duderstadt,DUDerstadt,DE-NI,Niedersachsen,,
D,DW,Sächsische Schweiz-Osterzgebirge,Dippoldiswalde,DippoldisWalde,DE-SN,Sachsen,,
D,DZ,Nordsachsen,Delitzsch,DelitZsch,DE-SN,Sachsen,,
D,DÜW,Bad Dürkheim,Dürkheim an der Weinstraße,DÜrkheim an der Weinstraße,DE-RP,Rheinland-Pfalz,,
D,E,Stadt Essen,Essen,Essen,DE-NW,Nordrhein-Westfalen,,
D,EA,Wartburgkreis,Eisenach,EisenAch,DE-TH,Thüringen,,
D,EB,Nordsachsen,Eilenburg,EilenBurg,DE-SN,Sachsen,,
D,EBE,Ebersberg,Ebersberg,EBErsberg,DE-BY,Bayern,,
D,EBN,Haßberge,Ebern,EBerN,DE-BY,Bayern,,
D,EBS,"Bayreuth, Forchheim, Kulmbach",Ebermannstadt,EBermannStadt,DE-BY,Bayern,"3,3,3",
D,ECK,Rendsburg-Eckernförde,Eckernförde,ECKernförde,DE-SH,Schleswig-Holstein,,
D,ED,Erding,Erding,ErDing,DE-BY,Bayern,,
D,EE,Elbe-Elster,"Elbe, Elster","Elbe, Elster",DE-BB,Brandenburg,,
D,EF,Stadt Erfurt,Erfurt,ErFurt,DE-TH,Thüringen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Sömmerda"
D,EG,Rottal-Inn,Eggenfelden,EGgenfelden,DE-BY,Bayern,,
D,EH,Oder-Spree,Eisenhüttenstadt,EisenHüttenstadt,DE-BB,Brandenburg,,
D,EI,Eichstätt,Eichstätt,EIchstätt,DE-BY,Bayern,,
D,EIC,Eichsfeld,Eichsfeld,EIChsfeld,DE-TH,Thüringen,,
D,EIL,Mansfeld-Südharz,Eisleben,EIsLeben,DE-ST,Sachsen-Anhalt,,
D,EIN,Northeim,Einbeck,EINbeck,DE-NI,Niedersachsen,,
D,EIS,Saale-Holzland-Kreis,Eisenberg,EISenberg,DE-TH,Thüringen,,
D,EL,Emsland,Emsland,EmsLand,DE-NI,Niedersachsen,,
D,EM,Emmendingen,Emmendingen,EMmendingen,DE-BW,Baden-Württemberg,,
D,EMD,Stadt Emden,Emden,EMDen,DE-NI,Niedersachsen,,
D,EMS,Rhein-Lahn-Kreis,Ems,EMS,DE-RP,Rheinland-Pfalz,,
D,EN,Ennepe-Ruhr-Kreis,Ennepe,ENnepe,DE-NW,Nordrhein-Westfalen,,
D,ER,Stadt Erlangen,Erlangen,ERlangen,DE-BY,Bayern,1,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Erlangen-Höchstadt"
D,ERB,Odenwaldkreis,Erbach,ERBach,DE-HE,Hessen,,
D,ERH,Erlangen-Höchstadt,"Erlangen, Höchstadt","ERlangen, Höchstadt",DE-BY,Bayern,,
D,ERK,Heinsberg,Erkelenz,ERKelenz,DE-NW,Nordrhein-Westfalen,,
D,ERZ,Erzgebirgskreis,Erzgebirge,ERZgebirge,DE-SN,Sachsen,,
D,ES,Esslingen,Esslingen,ESslingen,DE-BW,Baden-Württemberg,,
D,ESB,"Amberg-Sulzbach, Bayreuth, Neustadt a. d. Waldnaab, Nürnberger Land",Eschenbach,ESchenBach,DE-BY,Bayern,"3,3,3,3",
D,ESW,Werra-Meißner-Kreis,Eschwege,ESchWege,DE-HE,Hessen,,
D,EU,Euskirchen,Euskirchen,EUskirchen,DE-NW,Nordrhein-Westfalen,,
D,EW,Barnim,Eberswalde,EbersWalde,DE-BB,Brandenburg,,
D,F,Stadt Frankfurt am Main,Frankfurt,Frankfurt,DE-HE,Hessen,,
D,FB,Wetteraukreis in Friedberg Hessen,Friedberg,FriedBerg,DE-HE,Hessen,,
D,FD,Fulda,Fulda,FulDa,DE-HE,Hessen,,
D,FDB,Aichach-Friedberg,Friedberg,FrieDBerg,DE-BY,Bayern,,
D,FDS,Freudenstadt,Freudenstadt,FreuDenStadt,DE-BW,Baden-Württemberg,,
D,FEU,Ansbach,Feuchtwangen,FEUchtwangen,DE-BY,Bayern,,
D,FF,Stadt Frankfurt (Oder),Frankfurt,FrankFurt,DE-BB,Brandenburg,,
D,FFB,Fürstenfeldbruck,Fürstenfeldbruck,FürstenFeldBruck,DE-BY,Bayern,,
D,FG,Mittelsachsen,Freiberg,FreiberG,DE-SN,Sachsen,,
D,FI,Elbe-Elster,Finsterwalde,FInsterwalde,DE-BB,Brandenburg,,
D,FKB,Waldeck-Frankenberg,Frankenberg,FranKenBerg,DE-HE,Hessen,,
D,FL,Flensburg,Flensburg,FLensburg,DE-SH,Schleswig-Holstein,,
D,FLÖ,Mittelsachsen,Flöha,FLÖha,DE-SN,Sachsen,,
D,FN,Bodenseekreis,Friedrichshafen,FriedrichshafeN,DE-BW,Baden-Württemberg,,
D,FO,Forchheim,Forchheim,FOrchheim,DE-BY,Bayern,,
D,FOR,Spree-Neiße,Forst,FORst,DE-BB,Brandenburg,,
D,FR,"Stadt Freiburg im Breisgau, Breisgau-Hochschwarzwald",Freiburg,FReiburg,DE-BW,Baden-Württemberg,"3,3",
D,FRG,Freyung-Grafenau,"Freyung, Grafenau","FReyung, Grafenau",DE-BY,Bayern,,
D,FRI,Friesland,Friesland,FRIesland,DE-NI,Niedersachsen,,
D,FRW,Märkisch-Oderland,Freienwalde,FReienWalde,DE-BB,Brandenburg,,
D,FS,"Freising, Moosburg",Freising,FreiSing,DE-BY,Bayern,"3,3",
D,FT,Stadt Frankenthal (Pfalz),Frankenthal,FrankenThal,DE-RP,Rheinland-Pfalz,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Bad Dürkheim und Rhein-Pfalz-Kreis"
D,FTL,Sächsische Schweiz-Osterzgebirge,Freital,FreiTaL,DE-SN,Sachsen,,
D,FW,Oder-Spree,Fürstenwalde,FürstenWalde,DE-BB,Brandenburg,,
D,FZ,Schwalm-Eder-Kreis,Fritzlar,FritZlar,DE-HE,Hessen,,
D,FÜ,Fürth,Fürth,FÜrth,DE-BY,Bayern,1,
D,FÜS,Ostallgäu,Füssen,FÜSsen,DE-BY,Bayern,,
D,G,Stadt Gera,Gera,Gera,DE-TH,Thüringen,,"auslaufend Kreis, Abwicklung: Zulassungsbehörde Greiz"
D,GA,Altmarkkreis Salzwedel,Gardelegen,GArdelegen,DE-ST,Sachsen-Anhalt,,
D,GAN,Northeim,Gandersheim,GANdersheim,DE-NI,Niedersachsen,,
